angle (°) - amplitude	amplitude (V) - amplitude	
99.0725	2.59565	
99.07	2.58076	
99.0675	2.56782	
99.065	2.57462	
99.0625	2.60503	
99.06	2.61086	
99.0575	2.64063	
99.055	2.71052	
99.0525	2.71554	
99.05	2.71958	
99.0475	2.70211	
99.045	2.70729	
99.0425	2.68997	
99.04	2.67493	
99.0375	2.67897	
99.035	2.6848	
99.0325	2.66813	
99.03	2.65228	
99.0275	2.63772	
99.025	2.62089	
99.0225	2.606	
99.02	2.59209	
99.0175	2.59872	
99.015	2.58513	
99.0125	2.61361	
99.01	2.5984	
99.0075	2.58384	
99.005	2.54921	
99.0025	2.57866	
99	2.56442	
98.9975	2.55083	
98.995	2.55827	
98.9925	2.5463	
98.99	2.55261	
98.9875	2.53999	
98.985	2.52608	
98.9825	2.5133	
98.98	2.50262	
98.9775	2.51038	
98.975	2.51864	
98.9725	2.50618	
98.97	2.51524	
98.9675	2.52446	
98.965	2.51168	
98.9625	2.49938	
98.96	2.50877	
98.9575	2.49534	
98.955	2.48547	
98.9525	2.49372	
98.95	2.50343	
98.9475	2.51233	
98.945	2.52219	
98.9425	2.5099	
98.94	2.49663	
98.9375	2.52802	
98.935	2.53659	
98.9325	2.52414	
98.93	2.51103	
98.9275	2.4989	
98.925	2.50796	
98.9225	2.49566	
98.92	2.48336	
98.9175	2.49372	
98.915	2.50327	
98.9125	2.49097	
98.91	2.47883	
98.9075	2.48967	
98.905	2.47657	
98.9025	2.46476	
98.9	2.60536	
98.8975	2.72007	
98.895	2.76828	
98.8925	2.772	
98.89	2.79611	
98.8875	2.79919	
98.885	2.80129	
98.8825	2.80436	
98.88	2.80711	
98.8775	2.80954	
98.875	2.79045	
98.8725	2.79336	
98.87	2.79627	
98.8675	2.75647	
98.865	2.7589	
98.8625	2.74094	
98.86	2.72298	
98.8575	2.70632	
98.855	2.68933	
98.8525	2.67282	
98.85	2.678	
98.8475	2.64095	
98.845	2.6251	
98.8425	2.60989	
98.84	2.59452	
98.8375	2.58109	
98.835	2.71699	
98.8325	2.74401	
98.83	2.76909	
98.8275	2.79288	
98.825	2.7966	
98.8225	2.79886	
98.82	2.75825	
98.8175	2.74045	
98.815	2.72411	
98.8125	2.72654	
98.81	2.70939	
98.8075	2.69337	
98.805	2.67622	
98.8025	2.70357	
98.8	2.75146	
98.7975	2.75599	
98.795	2.73754	
98.7925	2.80647	
98.79	2.87393	
98.7875	2.87458	
98.785	2.87555	
98.7825	2.85452	
98.78	2.85646	
98.7775	2.85662	
98.775	2.81731	
98.7725	2.79724	
98.77	2.77718	
98.7675	2.75922	
98.765	2.74078	
98.7625	2.72314	
98.76	2.68577	
98.7575	2.66813	
98.755	2.65179	
98.7525	2.65794	
98.75	2.64241	
98.7475	2.67024	
98.745	2.63221	
98.7425	2.66101	
98.74	2.66603	
98.7375	2.67234	
98.735	2.65551	
98.7325	2.63966	
98.73	2.62655	
98.7275	2.63124	
98.725	2.61701	
98.7225	2.62251	
98.72	2.60875	
98.7175	2.61458	
98.715	2.57834	
98.7125	2.56297	
98.71	2.63383	
98.7075	2.6183	
98.705	2.60358	
98.7025	2.58788	
98.7	2.57559	
98.6975	2.56022	
98.695	2.54743	
98.6925	2.53368	
98.69	2.52058	
98.6875	2.5298	
98.685	2.5387	
98.6825	2.52478	
98.68	2.53336	
98.6775	2.52122	
98.675	2.50796	
98.6725	2.49615	
98.67	2.48369	
98.6675	2.45084	
98.665	2.44017	
98.6625	2.45068	
98.66	2.41687	
98.6575	2.40781	
98.655	2.41784	
98.6525	2.38613	
98.65	2.37626	
98.6475	2.34568	
98.645	2.35927	
98.6425	2.3282	
98.64	2.32028	
98.6375	2.31219	
98.635	2.32416	
98.6325	2.3604	
98.63	2.39405	
98.6275	2.38516	
98.625	2.3748	
98.6225	2.38613	
98.62	2.3782	
98.6175	2.3672	
98.615	2.35717	
98.6125	2.32643	
98.61	2.34002	
98.6075	2.33128	
98.605	2.30119	
98.6025	2.29374	
98.6	2.30733	
98.5975	2.3007	
98.595	2.31348	
98.5925	2.30491	
98.59	2.34115	
98.5875	2.33209	
98.585	2.36606	
98.5825	2.42269	
98.58	2.4544	
98.5775	2.46541	
98.575	2.51864	
98.5725	2.52737	
98.57	2.51459	
98.5675	2.52446	
98.565	2.57656	
98.5625	2.562	
98.56	2.5497	
98.5575	2.55747	
98.555	2.54339	
98.5525	2.53012	
98.55	2.51799	
98.5475	2.48369	
98.545	2.4722	
98.5425	2.43887	
98.54	2.42771	
98.5375	2.418	
98.535	2.40651	
98.5325	2.39632	
98.53	2.40813	
98.5275	2.42027	
98.525	2.49647	
98.5225	2.50537	
98.52	2.53562	
98.5175	2.54436	
98.515	2.55326	
98.5125	2.56005	
98.51	2.54663	
98.5075	2.5772	
98.505	2.56345	
98.5025	2.61474	
98.5	2.68674	
98.4975	2.71441	
98.495	2.73835	
98.4925	2.74288	
98.49	2.70518	
98.4875	2.7081	
98.485	2.71311	
98.4825	2.69677	
98.48	2.70114	
98.4775	2.728	
98.475	2.71036	
98.4725	2.84546	
98.47	2.89076	
98.4675	2.93412	
98.465	2.93364	
98.4625	2.93364	
98.46	2.91098	
98.4575	2.93315	
98.455	2.9325	
98.4525	2.91034	
98.45	2.88898	
98.4475	2.84708	
98.445	2.82766	
98.4425	2.80614	
98.44	2.78818	
98.4375	2.76893	
98.435	2.75016	
98.4325	2.73236	
98.43	2.71538	
98.4275	2.74142	
98.425	2.72492	
98.4225	2.70648	
98.42	2.69046	
98.4175	2.69564	
98.415	2.69984	
98.4125	2.68237	
98.41	2.66684	
98.4075	2.65228	
98.405	2.65713	
98.4025	2.66198	
98.4	2.64645	
98.3975	2.65341	
98.395	2.63772	
98.3925	2.68706	
98.39	2.71392	
98.3875	2.71861	
98.385	2.7233	
98.3825	2.7068	
98.38	2.68868	
98.3775	2.67282	
98.375	2.6361	
98.3725	2.59888	
98.37	2.60503	
98.3675	2.5908	
98.365	2.57656	
98.3625	2.584	
98.36	2.63707	
98.3575	2.64176	
98.355	2.64823	
98.3525	2.69774	
98.35	2.7034	
98.3475	2.68771	
98.345	2.69159	
98.3425	2.69596	
98.34	2.70114	
98.3375	2.68528	
98.335	2.68997	
98.3325	2.67282	
98.33	2.67849	
98.3275	2.6835	
98.325	2.66813	
98.3225	2.6738	
98.32	2.70081	
98.3175	2.72816	
98.315	2.75324	
98.3125	2.73592	
98.31	2.71829	
98.3075	2.70098	
98.305	2.68447	
98.3025	2.64775	
98.3	2.63205	
98.2975	2.61506	
98.295	2.60099	
98.2925	2.56475	
98.29	2.63739	
98.2875	2.70874	
98.285	2.71408	
98.2825	2.71974	
98.28	2.72266	
98.2775	2.70567	
98.275	2.66862	
98.2725	2.67266	
98.27	2.6348	
98.2675	2.61927	
98.265	2.64872	
98.2625	2.69774	
98.26	2.70292	
98.2575	2.70664	
98.255	2.71133	
98.2525	2.67363	
98.25	2.65697	
98.2475	2.63982	
98.245	2.6471	
98.2425	2.63157	
98.24	2.61636	
98.2375	2.60196	
98.235	2.60892	
98.2325	2.59484	
98.23	2.58044	
98.2275	2.56636	
98.225	2.57445	
98.2225	2.6259	
98.22	2.6327	
98.2175	2.66004	
98.215	2.64403	
98.2125	2.60681	
98.21	2.61377	
98.2075	2.59921	
98.205	2.58465	
98.2025	2.57041	
98.2	2.57818	
98.1975	2.58659	
98.195	2.57332	
98.1925	2.58028	
98.19	2.54371	
98.1875	2.53093	
98.185	2.56119	
98.1825	2.54873	
98.18	2.53498	
98.1775	2.54355	
98.175	2.53012	
98.1725	2.53886	
98.17	2.52559	
98.1675	2.51265	
98.165	2.50035	
98.1625	2.48887	
98.16	2.47754	
98.1575	2.46476	
98.155	2.45198	
98.1525	2.44097	
98.15	2.4303	
98.1475	2.41994	
98.145	2.38807	
98.1425	2.3782	
98.14	2.36817	
98.1375	2.35975	
98.135	2.34989	
98.1325	2.3418	
98.13	2.33225	
98.1275	2.32416	
98.125	2.31559	
98.1225	2.30798	
98.12	2.29989	
98.1175	2.29196	
98.115	2.3062	
98.1125	2.29827	
98.11	2.29132	
98.1075	2.28355	
98.105	2.25475	
98.1025	2.26947	
98.1	2.28371	
98.0975	2.27756	
98.095	2.26883	
98.0925	2.26219	
98.09	2.25653	
98.0875	2.24844	
98.085	2.24181	
98.0825	2.23534	
98.08	2.23016	
98.0775	2.24472	
98.075	2.23906	
98.0725	2.21042	
98.07	2.22595	
98.0675	2.22077	
98.065	2.2355	
98.0625	2.22919	
