99.828	4.378
99.825	4.343
99.823	4.314
99.820	4.303
99.818	4.314
99.815	4.305
99.813	4.295
99.810	4.265
99.808	4.237
99.805	4.227
99.803	4.263
99.800	4.279
99.798	4.310
99.795	4.345
99.793	4.377
99.790	4.410
99.788	4.463
99.785	4.475
99.783	4.481
99.780	4.467
99.778	4.476
99.775	4.463
99.773	4.451
99.770	4.459
99.768	4.446
99.765	4.435
99.763	4.421
99.760	4.453
99.758	4.528
99.755	4.512
99.753	4.522
99.750	4.528
99.748	4.496
99.745	4.501
99.743	4.510
99.740	4.603
99.738	4.609
99.735	4.635
99.733	4.619
99.730	4.648
99.728	4.630
99.725	4.611
99.723	4.618
99.720	4.582
99.718	4.567
99.715	4.594
99.713	4.666
99.710	4.693
99.708	4.676
99.705	4.678
99.703	4.748
99.700	4.771
99.698	4.773
99.695	4.798
99.693	4.821
99.690	4.820
99.688	4.867
99.685	4.908
99.683	4.929
99.680	4.950
99.678	4.949
99.675	4.966
99.673	4.964
99.670	4.963
99.668	4.960
99.665	4.913
99.663	4.893
99.660	4.890
99.658	4.870
99.655	4.846
99.653	4.824
99.650	4.848
99.648	4.827
99.645	4.805
99.643	4.805
99.640	4.915
99.638	4.979
99.635	4.958
99.633	4.994
99.630	4.971
99.628	4.946
99.625	4.923
99.623	4.900
99.620	4.902
99.618	4.898
99.615	4.876
99.613	4.876
99.610	4.854
99.608	4.834
99.605	4.809
99.603	4.767
99.600	4.727
99.598	4.753
99.595	4.732
99.593	4.717
99.590	4.695
99.588	4.657
99.585	4.618
99.583	4.601
99.580	4.563
99.578	4.528
99.575	4.512
99.573	4.475
99.570	4.462
99.568	4.516
99.565	4.545
99.563	4.573
99.560	4.536
99.558	4.521
99.555	4.510
99.553	4.495
99.550	4.481
99.548	4.467
99.545	4.455
99.543	4.442
99.540	4.431
99.538	4.437
99.535	4.429
99.533	4.437
99.530	4.426
99.528	4.412
99.525	4.401
99.523	4.389
99.520	4.378
99.518	4.390
99.515	4.399
99.513	4.365
99.510	4.376
99.508	4.410
99.505	4.419
99.503	4.430
99.500	4.461
99.498	4.448
99.495	4.414
99.493	4.444
99.490	4.432
99.488	4.441
99.485	4.429
99.483	4.437
99.480	4.426
99.478	4.415
99.475	4.383
99.473	4.393
99.470	4.360
99.468	4.392
99.465	4.381
99.463	4.371
99.460	4.403
99.458	4.455
99.455	4.619
99.453	4.710
99.450	4.758
99.448	4.757
99.445	4.738
99.443	4.741
99.440	4.743
99.438	4.703
99.435	4.686
99.433	4.668
99.430	4.823
99.428	4.867
99.425	4.868
99.423	4.845
99.420	4.845
99.418	4.824
99.415	4.803
99.413	4.803
99.410	4.784
99.408	4.786
99.405	4.745
99.403	4.726
99.400	4.709
99.398	4.731
99.395	4.754
99.393	4.779
99.390	4.783
99.388	4.785
99.385	4.786
99.383	4.787
99.380	4.789
99.378	4.771
99.375	4.792
99.373	4.794
99.370	4.752
99.368	4.733
99.365	4.691
99.363	4.696
99.360	4.699
99.358	4.681
99.355	4.663
99.353	4.647
99.350	4.631
99.348	4.611
99.345	4.639
99.343	4.622
99.340	4.606
99.338	4.611
99.335	4.596
99.333	4.558
99.330	4.541
