angle (°) - amplitude	amplitude (V) - amplitude	
29.9075	2.85161	
29.91	2.85274	
29.9125	2.87458	
29.915	2.87652	
29.9175	2.89788	
29.92	2.87749	
29.9225	2.87636	
29.925	2.89836	
29.9275	2.92069	
29.93	2.91972	
29.9325	2.94092	
29.935	2.96146	
29.9375	2.96049	
29.94	2.93784	
29.9425	2.93719	
29.945	2.93687	
29.9475	2.95742	
29.95	2.97716	
29.9525	2.97619	
29.955	2.95273	
29.9575	2.95111	
29.96	2.92943	
29.9625	2.92797	
29.965	2.92765	
29.9675	2.90548	
29.97	2.8838	
29.9725	2.88445	
29.975	2.86277	
29.9775	2.90759	
29.98	2.92894	
29.9825	2.94998	
29.985	2.94901	
29.9875	2.92684	
29.99	2.90451	
29.9925	2.90451	
29.995	2.92684	
29.9975	2.96842	
30	3.01081	
30.0025	3.00758	
30.005	3.00596	
30.0075	3.00288	
30.01	3.00029	
30.0125	2.95629	
30.015	2.9757	
30.0175	2.97392	
30.02	2.97166	
30.0225	2.97085	
30.025	2.9482	
30.0275	2.94642	
30.03	2.94674	
30.0325	2.9236	
30.035	2.92199	
30.0375	2.87911	
30.04	2.87846	
30.0425	2.90176	
30.045	2.90144	
30.0475	2.90095	
30.05	2.92296	
30.0525	2.92344	
30.055	2.94415	
30.0575	2.94334	
30.06	2.94205	
30.0625	2.96227	
30.065	2.96163	
30.0675	2.96049	
30.07	3.00207	
30.0725	2.99965	
30.075	2.977	
30.0775	2.99576	
30.08	2.97198	
30.0825	2.94917	
30.085	2.927	
30.0875	2.905	
30.09	2.90451	
30.0925	2.86212	
30.095	2.86164	
30.0975	2.88396	
30.1	2.90597	
30.1025	2.88477	
30.105	2.88445	
30.1075	2.8851	
30.11	2.88526	
30.1125	2.86504	
30.115	2.86649	
30.1175	2.86665	
30.12	2.84594	
30.1225	2.82637	
30.125	2.82572	
30.1275	2.80695	
30.13	2.80792	
30.1325	2.78786	
30.135	2.79093	
30.1375	2.79336	
30.14	2.81779	
30.1425	2.84109	
30.145	2.82135	
30.1475	2.8453	
30.15	2.95515	
30.1525	3.06307	
30.155	3.16597	
30.1575	3.24638	
30.16	3.3454	
30.1625	3.37905	
30.165	3.4106	
30.1675	3.44248	
30.17	3.45218	
30.1725	3.41788	
30.175	3.42759	
30.1775	3.4161	
30.18	3.38002	
30.1825	3.37274	
30.185	3.38261	
30.1875	3.35009	
30.19	3.34022	
30.1925	3.33019	
30.195	3.27874	
30.1975	3.26822	
30.2	3.26143	
30.2025	3.25285	
30.205	3.24574	
30.2075	3.21629	
30.21	3.20917	
30.2125	3.2027	
30.215	3.17422	
30.2175	3.16937	
30.22	3.16322	
30.2225	3.15756	
30.225	3.13038	
30.2275	3.12552	
30.23	3.0998	
30.2325	3.11533	
30.235	3.06857	
30.2375	3.08556	
30.24	3.05967	
30.2425	3.05644	
30.245	3.05352	
30.2475	3.06906	
30.25	3.08863	
30.2525	3.08524	
30.255	3.06064	
30.2575	3.05579	
30.26	3.07407	
30.2625	3.04964	
30.265	3.0676	
30.2675	3.06258	
30.27	3.05919	
30.2725	3.05563	
30.275	3.0532	
30.2775	3.04899	
30.28	3.08847	
30.2825	3.08475	
30.285	3.08054	
30.2875	3.05466	
30.29	3.05207	
30.2925	3.06954	
30.295	3.06598	
30.2975	3.06226	
30.3	3.06	
30.3025	3.07698	
30.305	3.07294	
30.3075	3.06987	
30.31	3.04382	
30.3125	3.04188	
30.315	3.03848	
30.3175	3.03476	
30.32	3.01	
30.3225	3.00644	
30.325	3.00515	
30.3275	2.9812	
30.33	2.9791	
30.3325	2.97781	
30.335	2.97651	
30.3375	2.95208	
30.34	2.93088	
30.3425	2.92911	
30.345	2.90662	
30.3475	2.86552	
30.35	2.86423	
30.3525	2.84384	
30.355	2.84481	
30.3575	2.8262	
30.36	2.82669	
30.3625	2.82766	
30.365	2.83009	
30.3675	2.81035	
30.37	2.79012	
30.3725	2.77233	
30.375	2.77459	
30.3775	2.7775	
30.38	2.7788	
30.3825	2.78203	
30.385	2.76327	
30.3875	2.74612	
30.39	2.74838	
30.3925	2.75146	
30.395	2.7555	
30.3975	2.73641	
30.4	2.74029	
30.4025	2.80938	
30.405	2.83268	
30.4075	2.81278	
30.41	2.83672	
30.4125	2.86018	
30.415	2.88283	
30.4175	2.90354	
30.42	2.90338	
30.4225	2.90289	
30.425	2.86099	
30.4275	2.86164	
30.43	2.88413	
30.4325	2.8851	
30.435	2.8851	
30.4375	2.8652	
30.44	2.86455	
30.4425	2.86552	
30.445	2.84368	
30.4475	2.84708	
30.45	2.84788	
30.4525	2.84675	
30.455	2.84902	
30.4575	2.85031	
30.46	2.87264	
30.4625	2.87458	
30.465	2.8741	
30.4675	2.87636	
30.47	2.89739	
30.4725	2.91875	
30.475	2.91891	
30.4775	2.93962	
30.48	2.98331	
30.4825	2.98217	
30.485	3.00046	
30.4875	2.99884	
30.49	2.99641	
30.4925	2.99463	
30.495	2.94868	
30.4975	2.92749	
30.5	2.92571	
30.5025	2.92506	
30.505	2.92441	
30.5075	2.92393	
30.51	2.9236	
30.5125	2.94464	
30.515	2.94399	
30.5175	2.94334	
30.52	2.92037	
30.5225	2.94156	
30.525	2.94027	
30.5275	2.91859	
30.53	2.96227	
30.5325	2.96049	
30.535	3.0676	
30.5375	3.10595	
30.54	3.14494	
30.5425	3.16079	
30.545	3.15497	
30.5475	3.14995	
30.55	3.16613	
30.5525	3.18167	
30.555	3.19623	
30.5575	3.23231	
30.56	3.22503	
30.5625	3.19639	
30.565	3.14656	
30.5675	3.16241	
30.57	3.15675	
30.5725	3.1726	
30.575	3.16775	
30.5775	3.18247	
30.58	3.2192	
30.5825	3.23409	
30.585	3.24816	
30.5875	3.19704	
30.59	3.17002	
30.5925	3.18458	
30.595	3.20043	
30.5975	3.1938	
30.6	3.18668	
30.6025	3.18005	
30.605	3.15125	
30.6075	3.12617	
30.61	3.11921	
30.6125	3.11501	
30.615	3.08831	
30.6175	3.10595	
30.62	3.12245	
30.6225	3.11743	
30.625	3.11355	
30.6275	3.12892	
30.63	3.14607	
30.6325	3.11921	
30.635	3.1142	
30.6375	3.10951	
30.64	3.10481	
30.6425	3.10012	
30.645	3.09608	
30.6475	3.13474	
30.65	3.15092	
30.6525	3.18927	
30.655	3.18231	
30.6575	3.19655	
30.66	3.21289	
30.6625	3.18522	
30.665	3.19898	
